year,trees,lumberjacks,bears,lumber,mauls,calculationTime
1,1326,160,75,1402,175,622
2,1650,77,74,544,90,604
3,2165,47,73,327,38,606
4,2624,35,72,294,24,606
5,2975,35,71,312,16,608
6,3157,40,70,397,18,608
7,3247,44,69,491,17,608
8,3295,44,68,476,26,610
9,3273,49,67,617,19,608
10,3306,48,66,572,29,609
11,3246,47,65,557,24,609
12,3250,52,64,682,23,608
13,3263,51,63,671,27,609
14,3272,52,62,696,25,608
15,3294,50,61,557,36,608
16,3308,50,60,621,23,608
17,3279,51,59,657,23,608
18,3279,53,58,703,29,608
19,3260,55,57,759,23,608
20,3247,53,56,721,26,608
21,3263,50,55,648,27,608
22,3232,57,54,785,14,608
23,3170,60,53,898,22,608
24,3214,54,52,730,28,609
25,3213,54,51,724,23,608
26,3245,53,50,688,22,608
27,3254,54,49,693,20,610
28,3190,62,48,849,11,608
29,3148,62,47,845,20,609
30,3192,54,46,709,29,608
31,3193,57,45,715,15,609
32,3204,56,44,761,22,608
33,3171,60,43,812,16,608
34,3177,55,42,707,24,608
35,3170,60,41,775,13,608
36,3164,59,40,823,22,608
37,3221,58,39,795,22,608
38,3195,59,38,813,20,608
39,3188,58,37,807,24,610
40,3163,63,36,786,11,608
41,3143,62,35,876,22,608
42,3112,64,34,812,15,609
43,3135,66,33,868,15,608
44,3144,63,32,821,21,609
45,3093,64,31,814,15,608
46,3076,64,30,813,17,608
47,3106,62,29,765,18,608
48,3105,64,28,783,14,608
49,3134,62,27,731,17,609
50,3132,63,26,810,17,608
51,3100,64,25,843,17,610
52,3061,67,24,931,16,609
53,3107,62,23,749,21,608
54,3093,66,22,867,13,609
55,3107,68,21,850,14,609
56,3022,75,20,956,9,608
57,3045,70,19,911,22,608
58,3017,74,18,888,11,608
59,2984,75,17,911,13,608
60,3013,75,16,861,14,608
61,3013,70,15,828,19,608
62,2947,76,14,916,8,608
63,2925,77,13,913,13,608
64,2956,75,12,893,16,608
65,2899,80,11,920,8,608
66,2887,83,10,904,9,608
67,2799,90,9,997,5,608
68,2753,91,8,950,10,608
69,2749,94,7,983,8,608
70,2708,96,6,1002,9,608
71,2702,99,5,995,8,607
72,2675,105,4,999,4,607
73,2652,110,3,988,4,607
74,2524,119,3,1100,1,607
75,2463,125,2,1044,2,607
76,2414,129,1,1045,4,607
77,2351,136,2,989,0,608
78,2270,141,1,986,2,607
79,2216,148,2,1038,0,607
80,2107,153,1,1038,2,605
81,2005,157,0,1043,2,606
82,1942,163,1,956,0,606
83,1856,166,0,975,3,606
84,1739,171,1,974,0,607
85,1597,174,0,939,2,606
86,1510,178,1,813,0,606
87,1411,182,2,823,0,605
88,1387,182,1,713,4,604
89,1331,184,0,750,2,605
90,1295,187,1,682,0,604
91,1297,186,0,647,4,605
92,1245,189,1,666,0,605
93,1252,191,1,626,1,605
94,1257,193,1,635,1,602
95,1120,194,0,713,2,603
96,1030,197,1,620,0,604
97,983,197,0,558,2,604
98,914,199,1,568,0,605
99,827,201,2,534,0,602
100,734,199,1,502,4,603
101,667,196,0,416,5,602
102,658,197,1,366,0,600
103,639,198,2,381,0,600
104,597,196,1,374,3,600
105,584,195,0,347,2,600
106,538,196,1,347,0,600
107,530,195,0,308,2,600
108,527,196,1,296,0,600
109,518,192,0,283,5,600
110,531,193,1,275,0,600
111,534,191,0,278,3,600
112,562,192,1,277,0,600
113,561,192,1,274,1,601
114,571,190,0,289,3,603
115,575,191,1,304,0,600
116,489,190,0,348,2,600
